车站名称,英文名称,站间距离（km）,累计距离（km）,开通时间
升仙湖,Shengxian Lake,-,0,2010-9-27
火车北站,North Railway Station,1.9,1.9,2010-9-27
人民北路,Renmin Road North,1.1,3.0,2010-9-27
文殊院,Wenshu Monastery,1.7,4.7,2010-9-27
骡马市,Luomashi,0.8,5.5,2010-9-27
天府广场,Tianfu Square,0.9,6.4,2010-9-27
锦江宾馆,Jinjiang Hotel,0.9,7.3,2010-9-27
华西坝,Huaxiba,0.8,8.1,2010-9-27
省体育馆,Sichuan Gymnasium,1.1,9.2,2010-9-27
倪家桥,Nijiaqiao,0.9,10.1,2010-9-27
桐梓林,Tongzilin,1.1,11.2,2010-9-27
火车南站,South Railway Station,1.2,12.4,2010-9-27
高新,Hi-Tech Zone,1.4,13.8,2010-9-27
金融城,Financial City,1.3,15.1,2010-9-27
孵化园,Incubation Park,0.7,15.9,2010-9-27
锦城广场,Jincheng Plaza,1.0,16.9,2013-6-8
世纪城,Century City,1.5,18.4,2010-9-27
天府三街,3rd Tianfu Street,1.0,19.4,2015-7-25
天府五街,5th Tianfu Street,1.0,20.4,2015-7-25
华府大道,Huafu Avenue,1.3,21.7,2015-7-25
四河,Sihe,1.1,22.8,2015-7-25
广都,Guangdu,1.1,23.9,2015-7-25
